Links,Company,Business Registration,Year of Incorporation,Chief Executive,CEO Position,Business Enquiry,Business Contact Person Position,Office Address,Postcode,City / Town,State,Country,Telephone,Email,Raw Material Used,Production Processes,Products Manufactured / Business Line
https://www.mpmadirectory.org.my/members/zhoushan-plastech-sdn-bhd,Zhoushan Plastech Sdn Bhd,1328956-K,2019,Johnson Phoon/Gu Jian Meng,Chief Executive Officer/Chief Technical Officer,Eugene Phoon,Sales,"62A, Lapangan Perdana 10, Panorama Lapangan Perdana",31650,Ipoh,Perak,Malaysia,6019-5599 268,"zhoushansb@gmail.com
johnson.phoon@gmail.com",PVC,Slitting / Die Cut & Rewinding,"Slitted PVC Rolls, Die Cut Sheet, Stretch Film and Screw, Barrel sete."
https://www.mpmadirectory.org.my/members/zinco-colours-compounding-sdn-bhd,Zinco Colours Compounding Sdn Bhd,789790-W,2007,Chan Kar Hock,Managing Director,Carmen Chew,Sales Manager,"6, Jalan Canang Emas 9/KS10, Telok Gong, Port Klang",42000,Null,Selangor,Malaysia,603-3134 1138,zincocc@gmail.com,"ABS, HIPS, PP, PA, PC, PBT, POM, PMMA",Compounds,"Compounding and Colouring of Most Engineering Plastics, Compounding of Flame Retardant Glass Fibre Material. UV Additives (ABS, EVA, PA, PBTP, PC, PE, PMMA, POM, PP, PS, AS)"
Links,Company,Business Registration,Year of Incorporation,Chief Executive,CEO Position,Business Enquiry,Business Contact Person Position,Office Address,Postcode,City / Town,State,Country,Telephone,Email,Raw Material Used,Production Processes,Products Manufactured / Business Line
https://www.mpmadirectory.org.my/members/semi-convertor-industries-sdn-bhd,Semi Convertor Industries Sdn Bhd,261822-A,1974,Lau Fook Chye,Director,Lau Mun Hoe,Executive Officer,"Lot 27, Jalan Industri 3/1, Kawasan Perindustrian Gopeng, Gopeng, Ipoh",31600,Null,Perak,Malaysia,605-357 7041/5,"sci@myjaring.net
sci@semi.com.my","PE, PET ,PP, OPP, Nylon, Cellophane, MPET, MCPP, Aluminium Foil, Paper, Wax","Lamination, Printing","Manufacturing of Multi-colour Printing and Multi-Layer, Lamination Flexible Plastic Packaging in Roll and Bags/Pouch, Gloves , Films and Bags"
https://www.mpmadirectory.org.my/members/seng-hiap-metal-sdn-bhd,Seng Hiap Metal Sdn Bhd,Null,1997,Seah Chye Ngiap,Managing Director,Tan Cheng Ling,Chief Finance Officer,"Lot 1297, Batu 7, Jalan Bukit Kemuning, Seksyen 34, Shah Alam",40470,Null,Selangor,Malaysia,603-5122 3402,ttl_shm@henghiap.com.my,Null,"Compounds , Recycling","Recycling , Recycling"
https://www.mpmadirectory.org.my/members/seng-liy-plastic-industry-m-sdn-bhd,Seng Liy Plastic Industry (M) Sdn Bhd,947196-P,2011,Tan Hun Koon,Director,Tan Hun Koon,Director,"28 Jalan Tiram 14, Taman Perindustrian Tiram, 81800 Ulu Tiram, Johor, Malaysia.",81800,Ulu Tiram,Johor,Malaysia,07-861 2730,sengliyplasticind@gmail.com,Null,Extrusion Pelletising (Recycling),"Recycling Resin - PVC, HDPE, PP"
https://www.mpmadirectory.org.my/members/sgs-malaysia-sdn-bhd,SGS Malaysia Sdn Bhd,10871-T,1971,Pradit Yongpanchai,Managing Director,Kenny Looi,General Manager Knowledge (KN),"Lot 3 & 4, Persiaran Jubli Perak, Seksyen 22, Shah Alam",40300,Null,Selangor,Malaysia,603-7627 0080,cbe.my@sgs.com,Null,Null,Null
https://www.mpmadirectory.org.my/members/shang-wei-industries-sdn-bhd,Shang Wei Industries Sdn Bhd,Null,Null,Lai Cheng Chien,Null,Lai Cheng Chien,Null,"Plo 528, Jalan Keluli 3, Kawasan Perindustrian Pasir Gudang, Pasir Gudang",81700,Null,Johor,Malaysia,607-255 2131,aken_lai@shangwei.com.my,"EPS, PET, PP, PS","Foam Moulding, Injection Moulding, Thermoforming , Lamination","Box, Lid, Bowl, Plate, Cup, Fork , Cutleries, Containers and Bottles"
https://www.mpmadirectory.org.my/members/shantawood-sdn-bhd,Shantawood Sdn Bhd,215539-H,1991,YBhg Dato' Seri Dr Sow Chin Chuan,Chairman,YBhg Dato' Seri Dr Sow Chin Chuan,Chairman,"Lot 76/77, Kawasan Perindustrian Bukit Rambai",75250,Null,Melaka,Malaysia,606-3513 111,cfac811@gmail.com,Null,Injection Moulding,"Furniture and Parts (Chair Seat, Bed, Plastic Chair), Plastic Roof Truss , Furniture, Industrial and Construction"
